"","Team","GP","MIN","PTS","W","L","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM"
"1","Atlanta Hawks ",82,3971,9294,29,53,2325,4490,51.78173719,1067,3034,35.16809492,1443,1918,75.2346194,955,2825,2118,1397,675,419,1932,-494
"2","Boston Celtics ",82,3956,9216,49,33,2419,4594,52.65563779,1032,2829,36.47932131,1282,1598,80.2252816,804,2849,2155,1052,706,435,1669,364
"3","Brooklyn Nets ",82,3996,9204,42,40,2254,4393,51.30890052,1047,2965,35.31197302,1555,2088,74.47318008,900,2919,1954,1236,539,339,1763,-6
"4","Charlotte Hornets ",82,3966,9081,39,43,2320,4579,50.6660843,977,2783,35.10600072,1510,1895,79.68337731,814,2778,1905,1001,591,405,1550,-90
"5","Chicago Bulls ",82,3981,8605,22,60,2521,5082,49.60645415,745,2123,35.09185115,1328,1695,78.3480826,718,2799,1796,1159,603,351,1663,-690
"6","Cleveland Cavaliers ",82,3951,8567,19,63,2342,4796,48.8323603,847,2388,35.46901173,1342,1694,79.22077922,879,2619,1698,1106,534,195,1642,-788
"7","Dallas Mavericks ",82,3956,8927,33,49,2160,4120,52.42718447,1022,3002,34.04397069,1541,2076,74.22928709,832,2884,1918,1167,533,351,1650,-105
"8","Denver Nuggets ",82,3946,9075,54,28,2536,4813,52.69062954,903,2571,35.12252042,1294,1714,75.49591599,972,2832,2245,1102,634,363,1644,324
"9","Detroit Pistons ",82,3971,8778,41,41,2192,4384,50,993,2854,34.7932726,1415,1893,74.74907554,936,2752,1845,1135,569,331,1811,-20
"10","Golden State Warriors ",82,3961,9650,57,25,2525,4537,55.65351554,1087,2824,38.49150142,1339,1672,80.08373206,797,2990,2413,1169,625,525,1757,530
"11","Houston Rockets ",82,3966,9341,53,29,1895,3442,55.05520046,1323,3721,35.55495834,1582,2001,79.06046977,836,2613,1741,1094,700,405,1803,391
"12","Indiana Pacers ",82,3941,8857,48,34,2611,5054,51.66204986,779,2081,37.433926,1298,1727,75.15923567,762,2766,2128,1122,713,404,1594,273
"13","LA Clippers ",82,3966,9442,48,34,2563,5060,50.65217391,821,2118,38.76298395,1853,2340,79.18803419,796,2936,1970,1193,561,385,1913,70
"14","Los Angeles Lakers ",82,3956,9165,37,45,2644,4884,54.13595414,847,2541,33.33333333,1336,1910,69.94764398,835,2985,2096,1284,618,440,1701,-141
"15","Memphis Grizzlies ",82,3976,8490,33,49,2302,4556,50.52677788,811,2368,34.24831081,1453,1882,77.20510096,723,2703,1963,1147,684,448,1801,-213
"16","Miami Heat ",82,3946,8668,39,43,2323,4560,50.94298246,928,2658,34.91346877,1238,1782,69.47250281,921,2879,1991,1208,627,448,1712,-19
"17","Milwaukee Bucks ",82,3956,9686,60,22,2450,4337,56.49066175,1105,3134,35.25845565,1471,1904,77.25840336,762,3316,2136,1137,615,486,1608,727
"18","Minnesota Timberwolves ",82,3966,9223,36,46,2586,5126,50.44869294,827,2357,35.08697497,1570,1995,78.69674185,923,2750,2018,1074,683,411,1664,-123
"19","New Orleans Pelicans ",82,3951,9466,33,49,2739,5114,53.55885804,842,2449,34.38138016,1462,1921,76.10619469,909,2969,2216,1215,610,441,1732,-109
"20","New York Knicks ",82,3956,8575,17,65,2311,4820,47.94605809,823,2421,33.99421727,1484,1956,75.86912065,857,2811,1646,1151,557,422,1713,-755
"21","Oklahoma City Thunder ",82,3971,9387,49,33,2565,5029,51.00417578,932,2677,34.81509152,1461,2049,71.30307467,1031,2911,1917,1145,766,425,1839,279
"22","Orlando Magic ",82,3956,8800,42,40,2379,4674,50.89858793,937,2633,35.58678314,1231,1575,78.15873016,822,2902,2095,1082,543,445,1526,58
"23","Philadelphia 76ers ",82,3961,9445,51,31,2518,4759,52.91027527,889,2474,35.93371059,1742,2258,77.14791851,892,3025,2207,1223,606,432,1745,221
"24","Phoenix Suns ",82,3976,8815,19,63,2499,4764,52.4559194,790,2400,32.91666667,1447,1858,77.87944026,748,2563,1957,1279,735,418,1932,-766
"25","Portland Trail Blazers ",82,3971,9402,53,29,2566,4907,52.29264316,904,2520,35.87301587,1558,1914,81.40020899,967,2968,1887,1135,546,413,1669,344
"26","Sacramento Kings ",82,3946,9363,39,43,2614,5182,50.44384408,927,2455,37.75967413,1354,1865,72.60053619,906,2819,2083,1095,679,363,1751,-92
"27","San Antonio Spurs ",82,3961,9156,48,34,2656,5177,51.30384393,812,2071,39.20811202,1408,1720,81.86046512,757,2910,2013,992,501,386,1487,138
"28","Toronto Raptors ",82,3976,9384,58,24,2445,4534,53.92589325,1015,2771,36.62937568,1449,1803,80.36605657,786,2920,2085,1150,680,437,1724,499
"29","Utah Jazz ",82,3951,9161,50,32,2321,4293,54.06475658,993,2789,35.6041592,1540,2092,73.61376673,820,2981,2133,1240,663,483,1728,431
"30","Washington Wizards ",82,3986,9350,32,50,2526,4656,54.25257732,930,2731,34.05346027,1508,1963,76.82119205,794,2679,2154,1154,683,379,1701,-238
